"stock, I am able to deduct the material cost from the total which will",,,,,,,,,,
bring your total to $450. I've attached the l,,2025-02-25 19:34:11.978,2025-07-10 17:30:07.528,2025-03-12 22:35:44.362,,,,,,
8,228,1,1,0,0,,,2025-02-25 20:05:54.765,2025-02-25 20:05:54.765,
9,222,1,1,0,0,Hello,,2025-02-25 20:26:48.029,2025-05-29 03:43:36.614,2025-04-17 18:07:00.244
10,11,1,1,0,0,,Hey,2025-02-25 20:28:49.196,2025-07-12 13:39:16.957,2025-07-07 16:48:06.340
11,8,1,1,0,0,,,2025-02-25 20:35:48.564,2025-02-25 20:35:48.564,
12,151,1,1,0,0,Hello,,,,
"On Thu, 27 Feb 2025, 2:55 am Rayhan Mojumdar, <rayhanmujumdar0177@gmail.com>",,,,,,,,,,
wrote:,,,,,,,,,,
> Hey,,,,,,,,,,
---
>,,,,,,,,,,
>,,2025-02-25 21:41:42.671,2025-03-14 21:40:06.965,2025-02-26 21:02:28.883,,,,,,
13,229,1,1,0,0,,,2025-02-25 21:41:57.452,2025-02-25 21:41:57.452,
14,230,1,1,0,0,,,2025-02-25 22:25:32.629,2025-02-25 22:25:32.629,
15,231,1,1,0,0,,,2025-02-25 22:37:47.552,2025-02-25 22:37:47.552,
16,232,1,1,0,0,,,2025-02-26 01:03:55.914,2025-02-26 01:03:55.914,
17,233,1,1,0,0,,,2025-02-26 01:23:35.599,2025-02-26 01:23:35.599,
18,234,1,1,0,0,,,2025-02-26 06:11:30.399,2025-05-08 20:36:21.052,
19,235,1,1,0,0,,,2025-02-26 12:18:35.468,2025-03-20 17:14:02.187,
20,104,1,1,0,0,,,2025-02-26 12:26:47.147,2025-06-22 17:56:14.268,
---
"On Thu, Feb 27, 2025 at 12:59?AM TC Customs Atlanta <",,,,,,,,,,
t.c.customsatl@gmail.com> wrote:,,,,,,,,,,
> hi this is test,,,,,,,,,,
>,hi roman roni !,2025-02-26 18:37:05.178,2025-05-09 10:33:29.506,2025-02-26 19:02:33.262,,,,,,
27,240,1,1,0,0,,,2025-02-26 18:42:51.473,2025-02-26 18:42:51.473,
28,241,1,1,0,0,,,2025-02-26 19:09:40.731,2025-02-26 19:09:40.731,
29,242,1,1,0,0,,,2025-02-26 21:43:02.479,2025-02-26 21:43:02.479,
30,243,1,1,0,0,,,2025-02-26 21:52:41.798,2025-02-26 21:52:41.798,
31,244,1,1,0,0,,,2025-02-26 22:32:35.943,2025-02-26 22:32:35.943,
32,245,1,1,0,0,,,2025-02-27 06:16:37.715,2025-07-10 08:56:58.692,
---
"On Tue, 4 Mar 2025, 3:56 pm TC Customs Atlanta, <t.c.customsatl@gmail.com>",,,,,,,,,,
wrote:,,,,,,,,,,
> This is a test message for Rayhan,,,,,,,,,,
>,,2025-03-04 09:54:12.352,2025-07-09 15:23:19.129,2025-03-04 09:57:15.692,,,,,,
99,305,1,1,0,0,,,2025-03-04 13:53:45.158,2025-03-04 13:53:45.158,
100,306,1,1,0,0,,,2025-03-04 13:53:45.292,2025-05-28 15:58:53.038,
101,307,1,1,0,0,,,2025-03-04 15:22:29.731,2025-05-14 18:18:14.247,
102,308,1,1,0,0,,,2025-03-04 15:22:30.403,2025-03-04 15:22:30.403,
103,309,1,1,0,0,,,2025-03-04 15:42:09.092,2025-03-04 15:42:09.092,
104,310,1,1,0,0,,,2025-03-04 15:42:09.101,2025-05-05 17:43:50.668,
---
